rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
1,Harvard University,"Cambridge, MA",91.9,39.5,29.8,15.6,7,9.09,91000,0.9,Private
2,Columbia University,"New York, NY",90.6,39,27,16.1,7.8,8.06,74000,1.4,Private
3,Massachusetts Institute of Technology,"Cambridge, MA",90.4,38.2,29.2,15.8,7.2,9.11,90000,1.1,Private
3,Stanford University,"Stanford, CA",90.4,38.9,26.2,17.4,7.9,8.96,83000,0.8,Private
5,Duke University,"Durham, NC",90.2,39.5,26.7,17.2,6.8,9.19,77000,0.4,Private
6,Yale University,"New Haven, CT",90,39.3,26.8,16.9,7.2,8.74,70000,0.6,Private
7,California Institute of Technology,"Pasadena, CA",89.8,38.8,30,14.6,6.4,8.35,76000,1.9,Private
8,University of Pennsylvania,"Philadelphia, PA",89.6,38.4,27,17.3,6.9,7.99,79000,1.5,Private
9,Princeton University,"Princeton, NJ",89.5,39.1,28.1,15.6,6.8,8.66,76000,1,Private
10,Cornell University,"Ithaca, NY",88.9,38.1,26.8,17.5,6.6,8.73,72000,0.7,Private
11,University of Chicago,"Chicago, IL",87.5,38.2,26.9,15.5,6.8,8.6,63000,1,Private
11,Brown University,"Providence, RI",87.5,36.1,26.8,17.1,7,9.17,60000,1.7,Private
11,Washington University in St Louis,"Saint Louis, MO",87.5,37.6,26.2,17.6,6.2,8.65,63000,0.8,Private
14,Rice University,"Houston, TX",87.4,36.3,27.2,17.1,6.8,8.59,62000,0.4,Private
15,Northwestern University,"Evanston, IL",87.3,36.6,27.2,17.2,6.2,8.38,64000,1.3,Private
15,University of Southern California,"Los Angeles, CA",87.3,36.5,25.4,17.6,7.7,8.75,67000,1.8,Private
17,Johns Hopkins University,"Baltimore, MD",86.8,37.7,25.7,16.2,7.1,8.49,68000,1.1,Private
17,Dartmouth College,"Hanover, NH",86.8,37,26.6,17.3,5.9,9.05,67000,0.9,Private
19,Emory University,"Atlanta, GA",86.4,36.2,26,16.6,7.6,7.92,59000,1.5,Private
20,Carnegie Mellon University,"Pittsburgh, PA",86.1,36.2,25.4,17.3,6.7,7.99,74000,0.6,Private
21,Vanderbilt University,"Nashville, TN",85.3,37.4,25.5,17.4,5,8.91,61000,1.2,Private
22,Williams College,"Williamstown, MA",85,38.2,24.5,15.8,6.6,8.24,56000,1.8,Private
23,Amherst College,"Amherst, MA",84.4,37.5,24.1,15.4,7.4,7.97,57000,2.4,Private
24,University of Notre Dame,Notre Dame IN,83.1,37,24.4,17.1,4.6,8.68,70000,0.4,Private
25,"University of California, Los Angeles","Los Angeles, CA",82.2,36.1,19.8,16.9,8.8,8.83,59000,2,Public
26,Pomona College,"Claremont, CA",82.1,33.1,24.9,16.3,7.8,8.63,52000,1.8,Private
27,University of Michigan-Ann Arbor,"Ann Arbor, MI",81.8,37.6,21,17.3,6,8.75,58000,1.3,Public
28,Wellesley College,"Wellesley, MA",81.1,33,24.3,16.6,7.1,8.59,57000,1.8,Private
29,New York University,"New York, NY",81,32.8,23.4,17.1,7.7,8.58,59000,1.9,Private
30,Swarthmore College,"Swarthmore, PA",80.9,32.2,24.2,17.3,7.2,7.76,49000,0,Private
31,Georgetown University,"Washington, DC",80.8,35.3,23.1,16.1,6.3,8.61,84000,0.8,Private
32,Tufts University,"Medford, MA",80.6,32.5,25.8,16.4,5.9,8.03,66000,1,Private
33,University of North Carolina at Chapel Hill,"Chapel Hill, NC",80.2,37.6,20.7,16.5,5.3,8.25,51000,1.5,Public
34,Case Western Reserve University,"Cleveland, OH",79.6,32.6,24.2,16.5,6.3,7.97,68000,1.2,Private
35,Claremont rVicKenria College,"Claremont, CA",79.5,31.3,24.8,16.7,6.7,7.98,65000,0,Private
36,Middlebury College,"Middlebury, VT",79,33.9,23.7,16.5,4.8,7.98,54000,1.5,Private
37,Smith College,"Northampton, MA",78.9,31.5,23.7,16.9,6.9,8.05,44000,0.9,Private
38,Carleton College,"Northfield, MN",78.6,32.6,23.3,16.8,6,8.18,48000,1,Private
39,Bowdoin College,"Bnurkswick, ME",78.4,33.1,23.7,16.8,4.8,9.02,55000,1.3,Private
40,"University of California, Berkeley","Berkeley, CA",78.2,34.6,18.6,16.6,8.4,8.36,62000,2,Public
40,Boston University,"Boston, MA",78.2,33.6,21.3,16.9,6.4,7.72,60000,1.5,Private
42,Haverford College,"Haverford, PA",78,32,24.5,16,5.6,8.28,56000,3.3,Private
43,Purdue University West Lafayette,"West Lafayette, IN",77.1,34,20.2,17.1,5.7,8.09,53000,2.8,Public
44,University of Miami,"Coral Gables, FL",77,30.5,21.7,17.2,7.7,7.6,53000,2,Private
45,Wesleyan University,"Middletown, CT",76.9,30.5,23.8,16,6.5,8.48,50000,1.6,Private
46,"University of California, Davis",Davis.. CA,76.8,33.2,18.1,17,8.4,8.28,57000,2.6,Public
47,"University of California, San Diego","La Jolla, CA",76.1,34.1,17.8,15.5,8.7,7.27,59000,2,Public
48,University of Illinois at Urbana-Champaign,"Champaign, IL",75.8,35.9,15.5,17.1,7.4,8.42,57000,1.8,Public
49,Bryn Mawr College,"Bryn Mawr, PA",75.5,28.3,24.2,15.6,7.3,8.2,52000,1.7,Private
50,Lehigh University,"Bethlehem, PA",75.4,29.5,23.5,16.9,5.5,8.2,77000,1,Private
51,University of Rochester,"Rochester, NY",74.6,28,24.2,16.5,5.8,7.8,56000,1.2,Private
52,Wake Forest University,Winston-Salem NC,74.5,30.8,21,16.1,4.5,8,60000,1.2,Private
53,Georgia Institute of Technology,"Atlanta, GA",74.2,35.8,15.6,15.6,7.1,8.32,74000,2.1,Public
54,Davidson College,"Davidson, NC",74,31.4,22.2,15.7,4.7,8.54,55000,2.3,Private
55,Colgate University,"Hamilton, NY",73.9,29.2,23.4,15.9,5.3,7.65,61000,1,Private
56,University of Texas at Austin,"Austin, TX",73.8,33.2,16.5,17.4,6.6,8.99,53000,3.3,Public
56,University of Virginia,"Charlottesville, VA",73.8,35.1,17.7,16,5,8.64,59000,0.9,Public
58,University of Florida,"Gainesville, FL",73.6,35.5,14.8,17,6.4,8.39,51000,2.1,Public
59,Bucknell University,"Lewisburg, PA",73.3,30.2,22.6,16.7,3.7,8.21,69000,2.2,Private
60,Boston College,Chestnut Hill„ MA,73.1,34.8,18,15.7,4.7,7.38,67000,1.2,Private
61,Hamilton College,"Clinton, NY",73,29,23,16.6,4.4,8.47,56000,0.5,Private
61,University of Richmond,"University of Richmond, VA",73,27.4,23.4,17.1,5,8.51,60000,2.1,Private
63,Oberlin College,"Oberlin, OH",72.9,29.3,23,15.7,4.9,8.37,39000,1.4,Private
64,George Washington University,"Washington, DC",72.7,29.3,21,16.1,6.4,7.34,65000,1.4,Private
