loc_string,Address,Latitude,Longitude
"Harvard University, Cambridge, MA, USA","Cambridge, MA 02138, USA",42.3770029,-71.1166601
"Columbia University, New York, NY, USA","116th St & Broadway, New York, NY 10027, USA",40.8075355,-73.9625727
"Massachusetts Institute of Technology, Cambridge, MA, USA","77 Massachusetts Ave, Cambridge, MA 02139, USA",42.360091,-71.09416
"Stanford University, Stanford, CA, USA","450 Serra Mall, Stanford, CA 94305, USA",37.4274745,-122.169719
"Duke University, Durham, NC, USA","Durham, NC 27708, USA",36.0014258,-78.9382286
"Yale University, New Haven, CT, USA","New Haven, CT 06520, USA",41.3163244,-72.9223431
"California Institute of Technology, Pasadena, CA, USA","1200 E California Blvd, Pasadena, CA 91125, USA",34.1376576,-118.125269
"University of Pennsylvania, Philadelphia, PA, USA","Philadelphia, PA 19104, USA",39.9522188,-75.1932137
"Princeton University, Princeton, NJ, USA","Princeton, NJ 08544, USA",40.3439888,-74.6514481
"Cornell University, Ithaca, NY, USA","Ithaca, NY 14850, USA",42.4534492,-76.4735027
"University of Chicago, Chicago, IL, USA","5801 S Ellis Ave, Chicago, IL 60637, USA",41.7886079,-87.5987133
"Brown University, Providence, RI, USA","Providence, RI 02912, USA",41.8267718,-71.4025482
"Washington University in St Louis, Saint Louis, MO, USA","1 Brookings Dr, St. Louis, MO 63130, USA",38.6487895,-90.3107962
"Rice University, Houston, TX, USA","6100 Main St, Houston, TX 77005, USA",29.7173941,-95.4018312
"Northwestern University, Evanston, IL, USA","633 Clark St, Evanston, IL 60208, USA",42.0564594,-87.675267
"University of Southern California, Los Angeles, CA, USA","Los Angeles, CA 90007, USA",34.0223519,-118.285117
"Johns Hopkins University, Baltimore, MD, USA","Baltimore, MD 21218, USA",39.3299013,-76.6205177
"Dartmouth College, Hanover, NH, USA","Hanover, NH 03755, USA",43.7044406,-72.2886935
"Emory University, Atlanta, GA, USA","1364 Clifton Rd, Atlanta, GA 30322, USA",33.7920475,-84.3220205
"Carnegie Mellon University, Pittsburgh, PA, USA","5000 Forbes Ave, Pittsburgh, PA 15213, USA",40.4428081,-79.9430128
"Vanderbilt University, Nashville, TN, USA","2201 West End Ave, Nashville, TN 37235, USA",36.1447034,-86.8026551
"Williams College, Williamstown, MA, USA","880 Main St, Williamstown, MA 01267, USA",42.7128038,-73.2030214
"Amherst College, Amherst, MA, USA","Amherst, MA 01002, USA",42.3709104,-72.5170028
"University of Notre Dame, Notre Dame IN, USA","Notre Dame, IN 46556, USA",41.7055716,-86.2353388
"University of California, Los Angeles, Los Angeles, CA, USA","Los Angeles, CA 90095, USA",34.068921,-118.4451811
"Pomona College, Claremont, CA, USA","Sumner Hall, 333 N College Way, Claremont, CA 91711, USA",34.097743,-117.711803
"University of Michigan-Ann Arbor, Ann Arbor, MI, USA","500 S State St, Ann Arbor, MI 48109, USA",42.2780436,-83.7382241
"Wellesley College, Wellesley, MA, USA","106 Central St, Wellesley, MA 02481, USA",42.2935733,-71.3059277
"New York University, New York, NY, USA","New York, NY 10003, USA",40.7295134,-73.9964609
"Swarthmore College, Swarthmore, PA, USA","500 College Ave, Swarthmore, PA 19081, USA",39.9068405,-75.3556483
